2.7715,3.0668,2.9436,2.7542,2.3936,2.8945,2.7001,2.6698
5.4977,4.4658,4.4856,4.5792,5.6318,5.0406,5.0165,4.9354
4.9196,4.4803,4.3873,4.3588,5.7252,5.0565,4.943,4.7979
2.8436,2.6088,2.8346,2.2338,2.213,2.7621,2.5212,2.6818
2.6859,2.6892,2.2837,2.5986,2.6731,2.7845,2.5102,2.5431
1.8443,2.1931,1.8956,1.9014,1.7435,1.9323,1.6757,1.8141
2.1905,1.7728,1.9708,1.5915,1.8887,1.7743,1.619,1.8819
1.8399,1.7648,1.7059,2.2081,2.028,1.8815,1.7504,2.0714
2.1062,2.2581,2.3443,2.1634,2.0075,2.0162,2.0743,2.2245
3.4028,2.8723,3.0522,3.1105,3.1746,3.433,3.1675,3.1091
4.7371,3.395,4.2963,4.0604,4.4338,4.4221,4.2134,4.3759
7.3498,6.477,6.8559,7.1034,7.2617,7.2595,6.3324,7.1564
5.0251,4.9477,4.9541,5.1611,4.9238,5.4132,4.9875,4.7107
4.1082,4.9744,4.4057,4.4058,5.279,4.7224,4.4717,4.5737
6.3457,5.9884,6.8726,6.5377,7.0014,6.4152,6.2484,6.2558
6.949,6.1856,7.6284,7.0728,7.7833,8.3176,6.5746,7.2007
5.3369,5.4955,4.8734,6.0787,4.5657,3.8105,4.8964,4.3243
4.203,4.7045,4.4758,4.476,4.4246,4.5369,4.4438,4.4931
1.6128,1.835,2.1437,2.6385,1.7151,2.175,2.0078,1.5742
2.2607,2.8745,2.4762,2.5904,2.2371,2.3,2.7509,2.4207
4.0318,4.5147,4.2879,4.1329,4.2176,3.9012,4.5108,4.4551
4.6845,4.732,4.6362,4.7472,4.4727,4.4418,4.606,4.5189
6.6757,6.9298,5.2737,7.4098,7.0163,5.7691,5.3588,6.0905
4.3973,4.3369,4.1383,3.7756,4.2856,4.633,4.3258,4.2233
1.5688,2.2819,1.7183,1.6796,1.4034,1.6671,1.7567,1.5657
4.8551,5.2919,4.6107,4.8179,4.3009,4.1666,4.7801,4.329
6.5437,5.4917,6.4191,6.4967,6.9895,6.5832,6.4705,6.2762
5.5137,5.245,4.809,5.1323,5.4291,4.9122,5.0344,4.8968
6.4369,4.6695,6.7666,6.3778,7.2795,6.5117,6.3748,5.9749
2.6253,3.527,2.688,2.7957,2.3863,2.296,2.518,2.5151
3.436,3.7866,3.8394,3.2356,3.3781,3.7185,4.0394,3.4355
3.3209,3.7963,3.5555,3.1522,3.4458,4.1918,3.412,3.4443
3.0808,3.4204,3.459,3.8299,2.7279,3.3949,3.2796,3.0397
4.2848,4.1129,4.8047,4.6469,3.9707,4.2689,4.3804,4.515
3.2263,3.1728,3.582,3.4832,3.326,3.1776,3.4417,3.3427
4.2143,3.9223,4.7658,4.4645,4.288,4.2867,4.7013,4.366
2.0884,2.3915,2.2043,2.175,2.0981,2.1614,1.9386,1.9188
1.2843,1.4754,1.2128,1.9952,1.096,1.3397,1.2846,1.1764
1.4613,2.3738,1.6753,1.9486,1.2371,1.3205,1.7558,1.502
1.7136,1.9628,1.977,2.346,1.8257,1.8407,1.7366,1.853
2.0995,2.0278,1.8707,2.7425,2.3576,2.2075,2.0177,2.1345
2.2654,1.8879,1.5961,1.8057,1.6585,2.2537,1.6392,1.6873
3.2388,3.7816,3.5483,4.3408,3.4592,4.1688,3.4197,3.1812
3.3449,3.5679,3.4209,3.5896,3.2909,3.3302,3.1185,3.3592
4.0486,3.0196,3.397,3.0782,3.5105,4.2362,3.6104,3.3741
1.6908,1.6099,1.8422,1.6645,1.3088,1.5917,1.6008,1.7064
1.7528,2.0853,1.7041,1.7213,1.5414,1.7744,1.7272,1.7239
3.479,2.6595,3.0217,3.1985,3.3306,3.3512,3.2022,3.0178
3.6363,3.1089,3.2073,3.2989,3.5544,3.4065,3.2116,3.7128
2.8036,3.3075,3.0817,2.7836,3.171,3.2936,2.9649,3.0799
3.7834,3.0816,2.9943,2.9726,3.568,3.5825,3.119,3.5284
4.6838,4.7678,4.5145,4.6135,4.7438,4.4047,4.7523,4.3244
5.3611,4.7421,5.347,4.5676,5.9853,6.7518,5.7033,4.6869
7.3327,4.6469,6.8452,7.7766,7.5187,5.8203,6.7587,6.8333
4.1385,3.8702,4.3541,4.5293,5.2318,4.2076,4.6464,4.0734
4.2393,4.1284,4.5466,4.5404,5.311,4.178,4.7771,4.1957
2.6954,2.4671,2.7004,2.6946,2.659,2.4764,2.7322,2.7878
1.8916,2.1213,2.2691,2.1935,1.9338,2.0303,2.0873,2.4197
1.7839,2.5651,2.0685,2.0237,1.768,1.6902,2.0154,1.8521
2.1807,3.1821,2.4474,2.7499,2.0404,2.485,2.631,2.2946
7.5583,5.7724,6.6644,5.6836,7.0011,6.8504,7.2582,6.7686
6.6183,4.4747,5.9164,4.725,6.9644,5.5269,6.4454,7.6575
1.4912,2.2177,1.4999,1.3032,1.3005,1.5874,1.6428,1.7145
4.5647,3.665,4.0619,4.1027,4.0943,4.049,3.8999,4.0702
6.7386,5.3829,6.6407,5.2395,6.8922,5.9974,6.6015,6.8005
4.5697,4.9219,5.1893,4.557,5.8548,7.0129,5.6485,5.1105
4.5615,4.3839,4.5568,4.7638,4.2036,3.833,4.7723,4.0192
3.5908,3.4807,3.1656,2.4842,3.2119,2.717,2.9676,3.1366
6.2055,5.7799,6.1372,6.3879,6.5185,6.0641,6.9644,5.4794
6.6223,5.3527,5.685,6.293,7.108,6.3364,6.1662,6.0042
1.8383,2.0099,1.9461,2.0808,1.7801,1.84,1.5827,1.4987
3.1648,2.9415,2.6626,3.1972,3.0138,3.0475,2.9232,3.0335
1.2954,1.7357,1.7363,2.1851,1.6979,1.5268,1.6209,1.2991
4.6987,4.6592,3.8932,4.1255,4.4237,4.7786,4.3265,4.4083
4.5511,3.8142,3.8922,3.9355,4.0754,4.6192,4.3,4.3049
1.5208,2.3626,1.8579,1.7901,1.4136,1.6751,1.946,1.7147
1.6096,3.5176,2.2715,1.782,2.2678,2.0374,1.933,2.0221
4.2038,4.5389,4.7024,4.8734,4.002,4.5186,4.7706,3.9537
5.8626,4.9061,5.0255,5.2643,5.7324,6.8375,5.3803,5.2946
4.1683,4.7717,4.2534,5.1138,4.0859,4.5953,4.5314,4.4012
2.4037,3.7406,2.7348,2.4709,2.6782,2.4249,3.1346,2.3937
3.128,4.2456,3.8783,4.9922,3.1718,0.36671,3.7115,4.0096
2.3497,2.6955,2.4968,2.3378,2.3151,2.5205,2.6594,2.4802
2.95,3.6376,3.1027,3.2352,3.1836,3.2298,3.4486,3.0972
5.9758,5.2045,5.7988,5.4306,5.3945,7.0653,6.151,5.8725
